region,state,district,year,rainfall_mm,groundwater_level_m,water_extraction_mcm,water_recharge_mcm,population,water_demand_mld,water_supply_mld,scarcity_index
South,Kerala,District_126,2002,1308.01,20.61,176.67,136.73,1492852,232.32,257.45,-0.1077
North,Uttarakhand,District_14,2004,1331.79,28.91,235.01,210.89,1309929,194.38,222.66,-0.1447
Central,Madhya Pradesh,District_145,2009,1461.71,17.46,244.58,262.66,458031,45.88,17.01,0.6158
East,Bihar,District_64,2003,1165.39,26.83,187.66,205.86,305998,52.75,65.06,-0.229
Central,Chhattisgarh,District_107,2019,1090.97,19.83,78.14,44.03,1306210,224.73,232.28,-0.0334
North,Himachal Pradesh,District_58,2016,1027.59,25.82,111.69,86.82,656147,71.58,58.69,0.1776
South,Kerala,District_116,2014,597.12,30.21,113.5,114.52,2278089,158.9,136.38,0.1408
South,Andhra Pradesh,District_110,2009,1372.36,35.49,329.59,296.98,2042410,177.02,174.8,0.0125
North,Uttarakhand,District_16,2019,1368.7,43.89,304.16,319.27,2635308,322.76,316.53,0.0192
East,West Bengal,District_54,2020,892.3,22.97,271.56,240.32,3043149,245.1,265.24,-0.0819
West,Rajasthan,District_68,2021,1396.23,21.14,327.56,319.8,3052908,160.01,185.73,-0.1597
East,Bihar,District_41,2007,626.61,13.85,322.81,332.85,2013671,215.09,212.93,0.01
South,Tamil Nadu,District_142,2002,650.11,42.55,137.76,155.25,2379643,109.58,134.88,-0.2288
South,Tamil Nadu,District_1,2013,221.21,18.67,320.95,349.21,3037583,421.31,441.71,-0.0483
East,Assam,District_121,2009,1147.53,44.34,174.1,137.87,2607631,226.42,201.6,0.1091
West,Maharashtra,District_60,2009,589.09,29.14,194.54,146.78,568343,121.7,137.97,-0.1326
South,Andhra Pradesh,District_117,2002,1058.78,3.06,268.8,265.36,144350,23.54,12.66,0.4435
South,Karnataka,District_68,2020,1183.38,40,219.16,200.13,2424965,297.04,290.69,0.0213
North,Uttarakhand,District_51,2013,260.44,9.96,334.25,296.25,345817,19.91,-14.74,1.6574
East,West Bengal,District_140,2007,1357.14,15.95,288.22,309.27,2182354,267.69,293.8,-0.0971
Central,Madhya Pradesh,District_69,2004,826.94,39.74,118.4,127.71,2780331,383.89,357.01,0.0698
East,Bihar,District_16,2005,1000.13,9.76,134.09,88.36,2643263,574.38,546.48,0.0485
South,Andhra Pradesh,District_146,2009,665.55,3.3,78.91,71.79,189023,17.17,17.87,-0.0383
East,Assam,District_32,2014,754.85,23.68,175.24,197.77,2774364,592.62,607.34,-0.0248
South,Andhra Pradesh,District_104,2008,1238.15,27.12,143.27,109.84,1925947,172.87,179.45,-0.0378
North,Haryana,District_139,2015,580.31,45.05,210.86,205.05,886877,162.11,168.35,-0.0383
East,Assam,District_21,2019,1049.96,43.14,322.78,330.63,543423,71.33,56.48,0.2054
West,Maharashtra,District_111,2023,873.65,37.17,297.91,302.86,3200629,482.51,506.25,-0.0491
East,Odisha,District_65,2000,809.8,44.36,293.05,282.63,1431207,311.88,305.48,0.0205
East,Bihar,District_59,2021,1002.91,17.5,349.15,300.77,547726,34.71,13.19,0.6025
North,Uttarakhand,District_6,2021,727.46,6.47,68.52,32.68,3316017,180.04,155.17,0.1373
West,Gujarat,District_148,2001,994.78,41.32,216.83,190.01,3282960,409.75,378.12,0.077
South,Tamil Nadu,District_121,2016,817.29,24.04,163.76,154.22,548634,108.83,99.42,0.0857
East,Assam,District_72,2005,772.03,6.18,268.53,264.92,386233,39.64,35.86,0.0929
North,Uttarakhand,District_112,2020,815.47,37.94,248.83,229.16,3298216,631.48,626.13,0.0085
North,Punjab,District_24,2015,910.63,8.06,256.09,260.08,3366463,136.97,115.85,0.1531
South,Telangana,District_105,2010,937.95,10.02,250.03,200.69,1755534,158.47,140.26,0.1142
East,Odisha,District_27,2005,935.39,16.65,121.67,149.01,1026316,116.48,89.54,0.2293
East,Odisha,District_106,2022,1442.9,45.37,127.5,92.91,2163091,345.44,355.92,-0.0302
North,Punjab,District_74,2021,976.36,28.9,92.19,86.42,1721533,139.12,140.5,-0.0098
South,Kerala,District_141,2001,1082.11,8.18,179.7,145.51,2396306,278.11,304.96,-0.0962
East,Assam,District_23,2010,992.95,15.44,308.92,315.54,2651722,500.35,477.9,0.0448
West,Gujarat,District_83,2003,953.34,42.29,344.72,325.01,2553568,242.22,210.01,0.1324
South,Kerala,District_132,2000,1084.63,7.4,264.07,250.81,2679912,223.88,252.95,-0.1293
Central,Chhattisgarh,District_119,2013,791.79,24.5,147.37,129.5,1573242,127.03,102.26,0.1935
West,Maharashtra,District_49,2016,716.42,44.11,314.41,317.97,2429165,487.33,503.43,-0.033
South,Telangana,District_128,2020,941.65,5.79,129.46,95.89,2122037,248.81,258.73,-0.0397
East,Assam,District_14,2006,998.95,33.62,133.17,145.55,416067,25.25,48.21,-0.8747
West,Gujarat,District_141,2004,1290.08,45.66,254.07,217.73,327023,69.34,97.46,-0.3997
South,Andhra Pradesh,District_113,2022,754.98,45.71,194.69,213.68,3288523,393.99,378.46,0.0393
North,Punjab,District_32,2000,967.49,32.3,231.59,205.38,568091,91.89,112.02,-0.2166
North,Himachal Pradesh,District_62,2022,1103.65,48.6,136.18,144.45,1049586,182.47,174.5,0.0434
South,Tamil Nadu,District_80,2017,711.22,32.44,80.57,90.22,2269736,107.04,91.73,0.1417
North,Uttar Pradesh,District_142,2013,845.32,24.54,190.63,182.8,1945082,146.46,130.65,0.1072
East,Bihar,District_58,2003,985.31,15.47,120.03,108.7,2690685,521.31,547.59,-0.0503
East,Assam,District_31,2020,983.42,15.68,194.23,189.14,3177815,420.36,428.35,-0.019
Central,Madhya Pradesh,District_128,2022,980.85,46.72,175.13,198.17,2407919,326.73,290.74,0.1098
South,Andhra Pradesh,District_131,2022,777.97,34.42,73.01,66.96,3089174,276.33,276.74,-0.0015
West,Gujarat,District_107,2015,919.4,22.25,179.2,136.59,725644,62.75,42.15,0.3231
North,Punjab,District_63,2014,1194.55,47.79,269.2,230.17,662341,32.59,43.27,-0.3179
Central,Chhattisgarh,District_38,2012,625.89,4.86,235.1,210.17,1002073,160.08,130.06,0.1864
West,Rajasthan,District_131,2023,712.33,30.62,219.38,177.35,452625,44.26,18.03,0.5797
Central,Madhya Pradesh,District_18,2008,974.87,21.81,247.37,225.65,1491402,219.03,248.27,-0.1329
East,Jharkhand,District_88,2016,1098.3,31.4,313.37,285.45,1910066,331.16,321.41,0.0294
West,Gujarat,District_1,2009,965.3,41.79,347.47,311.87,2361920,273.9,281.77,-0.0286
South,Andhra Pradesh,District_149,2021,1649.87,4.1,95.67,80.98,1706870,211.63,180.38,0.147
North,Punjab,District_39,2014,764.02,5.23,172.34,134.2,2495547,402.12,411.46,-0.0232
Central,Chhattisgarh,District_124,2011,1180.16,23.43,291.53,255.74,618291,89.2,62.25,0.2988
East,Odisha,District_142,2017,712.23,6.75,318,347.01,2111952,94.9,95.43,-0.0055
South,Kerala,District_117,2010,1291.18,9.95,247.26,273.68,822744,84.13,102.55,-0.2163
West,Rajasthan,District_62,2018,1764.4,3.22,247.29,226.34,3280962,359.13,329.75,0.0816
South,Kerala,District_60,2013,657.66,42.66,214.01,176.68,630863,137.43,133.38,0.0293
West,Maharashtra,District_82,2023,958.34,35.04,100.76,91.91,843791,182.21,172.32,0.054
North,Punjab,District_98,2012,405.16,17.03,102.65,93.62,723521,146.16,167.45,-0.1447
Central,Madhya Pradesh,District_127,2001,493.73,47.88,151.05,109.98,1749339,383.24,372.33,0.0284
Central,Madhya Pradesh,District_129,2018,956.53,9.28,68.97,21.31,450477,61.92,80.36,-0.2931
East,Odisha,District_26,2014,682.18,28.58,217.09,186.14,2773010,529.48,532.76,-0.0062
East,West Bengal,District_135,2014,1051.99,10.5,207.16,182.97,2859180,611.74,599.91,0.0193
North,Uttar Pradesh,District_37,2013,1137.65,18.67,228.34,247.2,2954362,198.22,166.96,0.1569
Central,Madhya Pradesh,District_20,2015,1076.7,37.26,147.14,151.08,2287919,347.12,362.02,-0.0428
West,Gujarat,District_87,2019,716.86,20.97,71.44,63.4,254779,51.78,71.86,-0.3803
South,Kerala,District_21,2010,1366.04,18.97,192.96,219.92,3205517,584.34,604.98,-0.0353
Central,Chhattisgarh,District_98,2010,1337.33,40.12,139.97,99.81,2947235,632.27,591.09,0.065
North,Punjab,District_139,2001,645.38,38.22,202.66,208.46,905083,82.76,97.52,-0.1762
North,Himachal Pradesh,District_18,2007,908.09,38.57,172.1,161.19,607632,63.93,39.5,0.3762
South,Andhra Pradesh,District_59,2023,870.15,23.29,234.61,217.3,1214151,266.27,291.81,-0.0956
East,Bihar,District_112,2003,1167.44,2.15,245.66,251.78,650719,33.34,-2.92,1.0558
East,West Bengal,District_114,2005,1066.2,32.08,328.65,357.12,1221751,253.23,280.94,-0.109
South,Andhra Pradesh,District_8,2001,76.69,43.86,212.9,192.29,1376871,258.25,263.25,-0.0193
East,Odisha,District_15,2009,959.26,40.08,347.26,361.21,2196913,415.49,423.39,-0.019
South,Telangana,District_96,2013,1383.25,2.69,273.98,237.25,1053336,55.22,84.8,-0.526
Central,Madhya Pradesh,District_63,2016,950.56,35.6,90.28,88.35,2133433,115.16,114.59,0.0049
East,Jharkhand,District_145,2021,940.67,21.54,79.14,81.24,2791834,429.32,416.04,0.0309
South,Tamil Nadu,District_44,2005,699.54,42.42,130.25,121.99,2872281,152.58,152.37,0.0014
East,Bihar,District_98,2019,994.12,16.17,127.39,134.91,3229215,299.2,317.77,-0.0619
South,Karnataka,District_128,2018,1222.08,28.35,123.59,150.9,3282986,342.77,324.18,0.0541
Central,Madhya Pradesh,District_60,2014,978.36,7.9,317.71,307.46,577621,70.3,38.7,0.4433
West,Gujarat,District_118,2008,1474.61,27.26,194.32,205.55,1989324,367.45,356.02,0.031
North,Uttar Pradesh,District_120,2009,1129.09,26.97,101.43,69.41,351907,45.54,54.22,-0.1865
Central,Chhattisgarh,District_41,2002,993.87,4.61,277.11,281.7,593526,43.94,15.21,0.6393
East,Assam,District_89,2018,634.7,36.32,232.11,190.45,1126127,215.18,244.89,-0.1374
South,Andhra Pradesh,District_109,2022,1131.03,17.18,89.55,90.73,2296608,440.23,446.73,-0.0147
West,Gujarat,District_117,2009,657.2,39.87,318.64,313.94,3294024,355.48,315.26,0.1128
West,Rajasthan,District_99,2015,690.22,4.03,223.74,179.33,2156912,359.54,389.22,-0.0823
East,West Bengal,District_61,2012,995.68,10.01,266.78,243.47,990776,89.29,109.57,-0.2246
North,Uttarakhand,District_92,2018,1011.36,14.91,197.87,177.12,1916860,93.3,96.3,-0.0318
South,Andhra Pradesh,District_76,2000,944.17,47.93,205.12,200.5,2885574,173.07,155.48,0.101
South,Kerala,District_71,2000,819.81,28.5,180.58,153.01,306464,48.52,43.1,0.1095
North,Uttarakhand,District_13,2019,991.68,44.25,122.56,98.34,1433412,66.61,67,-0.0058
North,Punjab,District_74,2007,938.72,24.47,227.96,251.13,179074,19.02,44.66,-1.281
North,Himachal Pradesh,District_91,2007,804.82,7.35,209.6,218.19,2245324,367.89,379.75,-0.0321
West,Rajasthan,District_65,2021,949.42,3.51,273.5,277.08,3418531,502.95,532.2,-0.0581
Central,Madhya Pradesh,District_25,2020,923.05,24.28,339.41,327.89,3384189,599.73,595.61,0.0069
West,Maharashtra,District_80,2014,657.56,8.31,308.57,292.54,930113,166.14,135.61,0.1827
West,Maharashtra,District_149,2011,698.61,7.77,137.02,165.61,1474700,149.72,124.29,0.1687
Central,Madhya Pradesh,District_24,2009,1076.04,29.39,224.75,201.71,2293348,493.88,460.35,0.0678
East,Odisha,District_107,2005,556.59,3.13,320.58,287.93,456048,42.14,56.61,-0.3354
West,Rajasthan,District_34,2017,987.38,30.96,197.29,222.51,3209795,161.81,119.98,0.2569
South,Telangana,District_136,2016,941.98,47.25,287.7,238.4,2321481,362.21,350.12,0.0333
West,Gujarat,District_43,2008,712.17,36.83,239.72,198.04,2225840,402.07,388.7,0.0332
North,Punjab,District_76,2023,1076.32,9.05,295.23,274.35,2035334,141.45,123.24,0.1278
East,Odisha,District_30,2014,1248.09,27.86,77.58,52.38,2778545,184.81,214.23,-0.1583
East,Bihar,District_37,2007,648.33,32.28,189.83,209.08,697405,94.39,106.24,-0.1243
South,Kerala,District_143,2011,1466.61,5.66,139.66,105.11,2937705,406.68,423.16,-0.0404
East,Bihar,District_102,2000,901.9,24.01,222.65,183.54,878659,177.12,156.55,0.1155
West,Gujarat,District_138,2003,234.81,33.64,91.58,70.66,827283,181.23,157.85,0.1283
East,Assam,District_95,2021,1067.51,49.09,225.17,234.4,2044144,420.05,436.84,-0.0399
West,Gujarat,District_150,2012,669.72,35.52,174.61,128.38,1113657,196.36,214.23,-0.0906
South,Telangana,District_28,2021,1268.75,24.89,268.32,278.53,989250,158.27,176.07,-0.1117
South,Karnataka,District_121,2000,1315.55,25.95,63.51,92.79,2523388,272.17,260.77,0.0417
North,Himachal Pradesh,District_144,2010,999.57,40.63,73.36,38.71,675327,130.1,105.44,0.1881
North,Himachal Pradesh,District_57,2020,856.93,3.4,199.46,176.46,1469089,297.12,315.59,-0.0619
East,Bihar,District_119,2022,655.58,49.52,336.91,327.33,122096,21.61,23.73,-0.0938
South,Andhra Pradesh,District_105,2003,1297.49,46.08,335.77,319.6,2917733,443.4,398.97,0.1
Central,Madhya Pradesh,District_12,2001,731.88,20.54,226.41,223.17,2557528,212.97,228.6,-0.0731
South,Andhra Pradesh,District_127,2003,472.64,3.87,70.45,86.43,2417657,392.43,405.56,-0.0334
East,West Bengal,District_61,2017,909.12,22.71,268.56,253.49,3210540,427.02,400.11,0.0629
Central,Madhya Pradesh,District_100,2014,648.34,44.92,334.47,293.07,2173996,385.58,353.84,0.0821
South,Telangana,District_139,2013,527.51,44.67,217.91,231.55,1845791,135.67,140.81,-0.0376
North,Uttarakhand,District_40,2013,797.46,5.42,80.01,34.75,377916,46.41,69.28,-0.4824
East,West Bengal,District_126,2019,1024.29,41.68,73.82,45.68,2028148,362.64,343.54,0.0525
East,Jharkhand,District_72,2001,402,22.41,70.9,90.67,3329344,133.18,131.94,0.0093
South,Telangana,District_56,2014,989.5,27.08,75.84,28,2331678,178.71,207.95,-0.1627
East,Assam,District_61,2011,1178.59,4.49,115.42,120.62,1215114,193.63,167.98,0.1318
East,West Bengal,District_95,2017,854.49,42.72,182.56,188.33,443733,83.09,94.13,-0.1313
South,Telangana,District_16,2012,727.35,18.17,349.87,347.41,3287207,577.77,578.29,-0.0009
West,Gujarat,District_49,2003,794.67,30.35,251.69,275.42,2384310,418.9,447.35,-0.0678
East,Assam,District_24,2021,937.31,14.9,242.25,233.7,1656232,245.59,253.34,-0.0315
West,Rajasthan,District_6,2001,410.22,36.29,280.11,301.91,799192,133.89,150.98,-0.1267
East,Odisha,District_63,2004,886.39,9.63,112.26,134.4,3381085,695.76,673.66,0.0317
North,Uttarakhand,District_53,2002,1025.61,36.99,309.89,317.96,1863058,91.93,111.26,-0.2081
Central,Chhattisgarh,District_54,2018,1079.71,9.55,94.47,63.3,688647,97.22,56.19,0.4178
West,Rajasthan,District_60,2010,588.12,25.82,170.35,187.31,327863,35.97,-2.03,1.0277
Central,Madhya Pradesh,District_1,2008,971.7,31.56,304.55,326.75,1676655,279.79,248.51,0.1114
Central,Madhya Pradesh,District_34,2017,809.49,28.23,340.44,366.31,1048668,177.56,142.86,0.1943
West,Gujarat,District_45,2003,1037.77,28.53,175,194.46,278625,51.71,30.92,0.3944
North,Uttar Pradesh,District_34,2000,752.71,32,151.8,116.49,2329552,427.25,438.46,-0.0262
South,Telangana,District_61,2018,1211.24,41.98,322.77,351.79,838759,58.13,74.11,-0.2703
East,Odisha,District_5,2005,1441.72,2.95,173.3,187.98,2259747,343.1,348.05,-0.0144
West,Gujarat,District_14,2004,723.81,5.28,287.29,294.43,657927,65.81,44.99,0.3116
East,Jharkhand,District_135,2003,1329.44,5.46,119.57,119.05,2610104,405.9,385.54,0.05
East,Bihar,District_122,2014,568.07,22.08,277.77,299.66,2201268,216.93,176.33,0.1863
South,Telangana,District_132,2018,1045.87,45.91,63.33,57.32,2341729,169.27,126.47,0.2514
East,West Bengal,District_116,2016,835.49,37.42,264.32,260.5,758088,84.58,94.76,-0.1189
South,Karnataka,District_12,2023,641.21,11.86,200.08,208.6,1528083,212.3,190.56,0.1019
North,Haryana,District_78,2014,979.99,10.26,328.4,352.93,2966720,167.83,152.91,0.0884
North,Uttar Pradesh,District_16,2015,601.32,31.94,248.07,256.67,2000313,333.42,335.42,-0.006
South,Kerala,District_110,2021,436.58,34.26,229.23,217.17,2166482,319.73,284.77,0.109
East,West Bengal,District_126,2022,1498.24,47.44,90.71,108.33,1734374,135.9,95.47,0.2953
East,Assam,District_19,2002,495.54,4.42,241.97,241.12,3108510,265.96,262.19,0.0141
East,Odisha,District_38,2002,1300.5,47.96,175.72,138.54,290049,50.21,64.11,-0.2715
Central,Madhya Pradesh,District_71,2019,893,37.66,154.84,113.64,1376236,281.6,279.05,0.009
North,Uttarakhand,District_141,2022,1489.59,14.42,185.98,158.1,1153585,253.01,265.82,-0.0504
East,Odisha,District_98,2019,1450.3,35.64,119.17,96.85,58764,11.63,-13.77,2.0111
North,Haryana,District_76,2014,1051.14,2.66,132.03,144.88,1297116,69.9,31.56,0.5408
North,Haryana,District_111,2003,627.53,12.34,233.16,215.57,573685,121.2,88.31,0.2691
East,West Bengal,District_142,2023,374.32,40.64,298.67,254.05,1340644,243.49,243.68,-0.0008
West,Rajasthan,District_111,2014,430.47,49.41,144.53,112.87,3183976,655.06,641.23,0.0211
South,Karnataka,District_106,2010,925.91,27.84,137.97,138.49,1942716,310.76,281.71,0.0932
East,Assam,District_103,2013,1499.59,13.92,264.58,260.38,713787,97.29,116.46,-0.195
East,West Bengal,District_81,2013,689.83,39.63,181.62,171.62,2420514,357.73,372.65,-0.0416
East,Odisha,District_66,2011,433.91,24.54,68.21,81.41,3299096,585.92,585.19,0.0012
Central,Madhya Pradesh,District_122,2002,1355.32,33.45,135.47,152.71,1330823,176.94,147.95,0.1629
East,Bihar,District_22,2002,1126.49,23.42,293.69,323.06,3162915,268.82,260.2,0.032
East,Jharkhand,District_25,2023,1053.01,27.71,163.5,165.19,1864395,367.42,335.32,0.0872
South,Telangana,District_34,2017,1072.4,39.75,243.34,243.46,76753,16.07,-19.65,2.0925
West,Maharashtra,District_144,2017,741.75,6.92,173.89,159.62,885946,91.08,81.96,0.099
East,Odisha,District_32,2013,979.61,18.55,193.93,190.77,2401814,360.03,378,-0.0498
South,Telangana,District_109,2023,960.99,34.33,111.98,86.47,470150,60.22,58,0.0363
West,Maharashtra,District_74,2019,1073.48,27.53,288.94,295.19,1535373,84.51,113.07,-0.3341
South,Andhra Pradesh,District_91,2003,1015,9.96,318.35,329.03,3260705,502.92,489.25,0.0271
North,Uttarakhand,District_130,2006,828.64,16.93,108.41,118.91,112406,9.23,22.77,-1.3223
Central,Madhya Pradesh,District_124,2007,805.49,48.07,238.73,224.18,3176262,558.06,522.7,0.0632
East,West Bengal,District_90,2017,662.86,38.17,119.06,122.86,3394340,667.65,650.29,0.026
South,Telangana,District_30,2008,1381.56,27.56,93.46,75.01,85463,17.77,14.84,0.1562
North,Uttarakhand,District_58,2013,902.85,7.49,281.79,257.48,2273233,298.71,297.27,0.0048
Central,Chhattisgarh,District_143,2000,1011.39,2.87,289.9,314.38,2687380,304.91,268.49,0.1191
North,Himachal Pradesh,District_69,2000,1103.28,44.32,272.08,246.3,2957775,563.46,531.86,0.056
South,Tamil Nadu,District_70,2022,636.62,42.48,200.68,203.99,2345344,318.23,309.93,0.026
South,Andhra Pradesh,District_87,2011,798.71,25.25,63.88,61.1,1360592,251.22,213.58,0.1492
North,Uttar Pradesh,District_47,2004,1240.29,11.77,79.42,39.23,3163491,230.02,204.29,0.1114
North,Uttarakhand,District_103,2002,943.29,49.12,190.64,179.57,457899,100.51,88.58,0.1175
Central,Madhya Pradesh,District_8,2002,1230.41,17.42,123.83,125.79,2003415,299.54,276.54,0.0765
North,Haryana,District_56,2012,493.22,4.18,161.48,117.14,1390645,110.11,90.49,0.1766
East,Jharkhand,District_117,2010,508.8,25.23,61.54,27.18,1512404,88.72,115.07,-0.2937
South,Tamil Nadu,District_95,2009,435.06,28.31,211.11,213.09,3088503,411.52,430.99,-0.0472
East,Odisha,District_146,2019,1409.5,34.22,239.94,210.56,1623795,121.94,85.16,0.2992
East,Bihar,District_14,2004,999.68,38.42,233.18,210.84,1973691,381.84,371.22,0.0277
South,Tamil Nadu,District_13,2021,961.04,38.4,149,145.8,1882829,206.2,192.07,0.0682
East,Bihar,District_70,2014,1009.09,43.35,311.91,283.96,2747426,202.83,227.06,-0.1189
East,Jharkhand,District_125,2019,555.99,35.42,171.01,135.27,1436969,305.4,303.07,0.0076
East,Assam,District_107,2008,1356.59,32.56,276.99,288.98,1750645,154.95,170.63,-0.1005
West,Rajasthan,District_132,2003,1577.54,35.34,123.43,105.8,2765025,440.07,408.95,0.0706
South,Telangana,District_111,2003,1099.54,11.01,85.63,59.72,801635,53.8,67.5,-0.2502
South,Andhra Pradesh,District_125,2016,1112.67,24.27,136.56,133.34,3316983,278,266.2,0.0423
South,Andhra Pradesh,District_12,2007,926.7,17.51,320.4,279.35,424319,73.2,70.47,0.0368
South,Kerala,District_15,2000,826.23,34.01,87.35,57.51,932472,134.1,159.05,-0.1847
West,Rajasthan,District_78,2006,1225.19,40.72,308.83,259.02,1241402,177.28,184.48,-0.0404
Central,Madhya Pradesh,District_66,2009,672.85,17.27,338.74,297.4,2360876,427.49,415.03,0.0291
East,Odisha,District_31,2000,1202.89,13.14,64.17,33.02,3005193,502.19,509.02,-0.0136
North,Punjab,District_111,2005,532.58,8.37,208.37,237.95,2551655,292.59,292.41,0.0006
Central,Madhya Pradesh,District_98,2017,713.56,32.64,272.57,248.48,3194068,351.54,364.38,-0.0364
South,Karnataka,District_129,2017,852.64,30.65,329.17,284.84,480590,72.73,55.25,0.2371
South,Telangana,District_19,2012,195.2,25.72,309.7,302.81,2070845,303.93,329.93,-0.0853
